,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
111,117.06,0.006,0.3,01100000_00010010,7.707627296447754,_M_00001,150
112,116.91,0.006,-0.1,01100000_00100010,7.740823984146118,_M_00001,150
113,116.98,0.004,-0.2,01100000_00000010,7.774014949798584,_M_00001,150
114,117.04,0.004,0.2,01100000_00110010,7.807196617126465,_M_00001,150
115,116.91,0.004,0.0,01100000_00110010,7.8403637409210205,_M_00001,150
116,116.98,0.004,0.0,01100000_00010010,7.873594284057617,_M_00001,150
117,117.06,0.004,0.0,01100000_00010010,7.906793832778931,_M_00001,150
118,116.89,0.006,0.0,01100000_00110010,7.939985036849976,_M_00001,150
119,116.98,0.004,0.0,01100000_00110010,7.973168849945068,_M_00001,150
120,116.77,0.004,0.0,01100000_00100010,6.023228645324707,_M_00004,149
121,116.64,0.006,0.2,01100000_00010010,6.041586399078369,_M_00004,149
122,116.71,0.006,0.0,01100000_00000010,6.07476282119751,_M_00004,149
123,116.78,0.006,0.3,01100000_00010010,6.107970952987671,_M_00004,149
124,116.64,0.006,0.2,01100000_00010010,6.141185998916626,_M_00004,149
125,116.69,0.006,0.1,01100000_00110010,6.174357175827026,_M_00004,149
126,116.78,0.006,0.2,01100000_00010010,6.207620859146118,_M_00004,149
127,116.77,0.006,0.0,01100000_00010010,6.240808486938477,_M_00004,149
128,116.75,0.006,0.0,01100000_00100010,6.273976802825928,_M_00004,149
129,116.75,0.004,0.2,01100000_00010010,6.3072004318237305,_M_00004,149
130,116.69,0.006,0.0,01100000_00100010,6.340417861938477,_M_00004,149
131,116.69,0.004,0.0,01100000_00100010,6.373614072799683,_M_00004,149
132,116.77,0.006,-0.2,01100000_00000010,6.406797647476196,_M_00004,149
133,116.69,0.004,0.0,01100000_00100010,6.439970254898071,_M_00004,149
134,116.69,0.004,0.0,01100000_00110010,6.473198890686035,_M_00004,149
135,116.75,0.006,-0.2,01100000_00000010,6.5064005851745605,_M_00004,149
136,116.71,0.008,-0.3,01100000_00000010,6.539608001708984,_M_00004,149
137,116.69,0.004,0.1,01100000_00110010,6.572802543640137,_M_00004,149
138,116.75,0.006,0.6,01100000_00010010,6.606012344360352,_M_00004,149
139,116.69,0.006,0.1,01100000_00110010,6.639157295227051,_M_00004,149
140,116.77,0.004,0.1,01100000_00110010,6.672331094741821,_M_00004,149
141,116.75,0.004,-0.1,01100000_00100010,6.705558776855469,_M_00004,149
142,116.71,0.004,0.0,01100000_00100010,6.738755226135254,_M_00004,149
143,116.69,0.004,0.4,01100000_00110010,6.77195143699646,_M_00004,149
144,116.73,0.006,0.0,01100000_00010010,6.805155277252197,_M_00004,149
145,116.71,0.004,0.0,01100000_00010010,6.838327646255493,_M_00004,149
146,116.69,0.006,0.2,01100000_00010010,6.8715736865997314,_M_00004,149
147,116.73,0.004,0.0,01100000_00110010,6.904748916625977,_M_00004,149
148,116.69,0.006,0.0,01100000_00010010,6.937932014465332,_M_00004,149
149,116.69,0.006,0.2,01100000_00010010,6.971143007278442,_M_00004,149
150,115.99,0.006,0.1,01100000_00010010,6.023228645324707,_M_00002,149
151,116.08,0.008,0.0,01100000_00000010,6.041586399078369,_M_00002,149
152,115.94,0.006,-0.3,01100000_00000010,6.07476282119751,_M_00002,149
153,115.94,0.008,-0.2,01100000_00000010,6.107970952987671,_M_00002,149
154,116.07,0.008,0.4,01100000_00110010,6.141185998916626,_M_00002,149
155,115.94,0.006,0.0,01100000_00100010,6.174357175827026,_M_00002,149
156,115.96,0.01,0.0,01100000_00000010,6.207620859146118,_M_00002,149
157,115.99,0.006,0.4,01100000_00110010,6.240808486938477,_M_00002,149
158,115.92,0.006,0.0,01100000_00010010,6.273976802825928,_M_00002,149
159,115.94,0.006,0.1,01100000_00110010,6.3072004318237305,_M_00002,149
160,116.01,0.006,0.0,01100000_00110010,6.340417861938477,_M_00002,149
161,115.96,0.006,0.2,01100000_00110010,6.373614072799683,_M_00002,149
162,115.96,0.008,-0.2,01100000_00000010,6.406797647476196,_M_00002,149
163,116.03,0.008,0.5,01100000_00010010,6.439970254898071,_M_00002,149
164,115.96,0.008,0.2,01100000_00010010,6.473198890686035,_M_00002,149
165,115.97,0.008,-0.1,01100000_00100010,6.5064005851745605,_M_00002,149
166,115.99,0.006,-0.1,01100000_00000010,6.539608001708984,_M_00002,149
167,115.97,0.008,-0.5,01100000_00000010,6.572802543640137,_M_00002,149
168,115.96,0.008,0.4,01100000_00110010,6.606012344360352,_M_00002,149
169,115.99,0.008,-0.1,01100000_00000010,6.639157295227051,_M_00002,149
170,115.96,0.008,0.0,01100000_00100010,6.672331094741821,_M_00002,149
171,115.96,0.008,0.1,01100000_00110010,6.705558776855469,_M_00002,149
172,115.97,0.008,-0.4,01100000_00000010,6.738755226135254,_M_00002,149
173,115.94,0.008,0.4,01100000_00110010,6.77195143699646,_M_00002,149
174,115.96,0.008,0.0,01100000_00000010,6.805155277252197,_M_00002,149
175,115.97,0.006,-0.3,01100000_00100010,6.838327646255493,_M_00002,149
