,volts,amps,power,sysstatus,timestamp,M_ID,packet_num
132,115.99,0.004,0.0,01100000_00100010,5.208914279937744,_M_00002,148
133,116.03,0.004,-0.1,01100000_00000010,5.225508689880371,_M_00002,148
134,116.05,0.002,-0.1,01100000_00000010,5.242183208465576,_M_00002,148
135,116.01,0.002,0.2,01100000_00010010,5.258874893188477,_M_00002,148
136,116.03,0.004,0.2,01100000_00010010,5.275624990463257,_M_00002,148
137,116.05,0.004,0.3,01100000_00110010,5.2919394969940186,_M_00002,148
138,116.01,0.006,0.4,01100000_00110010,5.308695554733276,_M_00002,148
139,115.94,0.004,0.1,01100000_00110010,5.325272083282471,_M_00002,148
140,116.05,0.002,-0.1,01100000_00100010,5.341901063919067,_M_00002,148
141,116.03,0.004,0.2,01100000_00110010,5.358484506607056,_M_00002,148
142,116.03,0.006,0.2,01100000_00010010,5.375091791152954,_M_00002,148
143,116.05,0.006,0.1,01100000_00010010,5.391707181930542,_M_00002,148
144,116.01,0.004,0.2,01100000_00010010,5.408536672592163,_M_00002,148
145,116.03,0.004,0.1,01100000_00010010,5.425339698791504,_M_00002,148
146,115.97,0.004,0.0,01100000_00110010,5.441710472106934,_M_00002,148
147,116.01,0.004,0.0,01100000_00000010,5.458340167999268,_M_00002,148
148,116.03,0.004,0.0,01100000_00000010,5.474939823150635,_M_00002,148
149,116.05,0.004,0.1,01100000_00110010,5.491583347320557,_M_00002,148
150,116.01,0.004,0.0,01100000_00010010,5.508155584335327,_M_00002,148
151,116.03,0.006,-0.3,01100000_00100010,5.524776935577393,_M_00002,148
152,116.07,0.004,0.2,01100000_00010010,5.541369199752808,_M_00002,148
153,116.01,0.004,-0.2,01100000_00100010,5.557999610900879,_M_00002,148
154,116.01,0.004,0.0,01100000_00000010,5.574430465698242,_M_00002,148
155,116.07,0.004,0.0,01100000_00000010,5.591039419174194,_M_00002,148
156,115.96,0.002,0.0,01100000_00110010,5.6075403690338135,_M_00002,148
157,116.01,0.004,0.0,01100000_00010010,5.6241350173950195,_M_00002,148
158,116.07,0.004,0.0,01100000_00000010,5.6407411098480225,_M_00002,148
159,115.96,0.002,-0.1,01100000_00100010,5.657328128814697,_M_00002,148
160,116.03,0.004,0.0,01100000_00000010,5.67391562461853,_M_00002,148
161,116.07,0.004,0.1,01100000_00110010,5.6905598640441895,_M_00002,148
162,115.96,0.004,0.0,01100000_00110010,5.707119703292847,_M_00002,148
163,116.03,0.004,0.0,01100000_00010010,5.723706007003784,_M_00002,148
164,116.05,0.004,0.0,01100000_00110010,5.740310907363892,_M_00002,148
165,115.96,0.002,0.0,01100000_00100010,5.756894826889038,_M_00002,148
166,116.05,0.004,-0.2,01100000_00000010,5.773541688919067,_M_00002,148
167,116.08,0.004,0.0,01100000_00000010,5.790118932723999,_M_00002,148
168,115.97,0.004,0.0,01100000_00100010,5.806685447692871,_M_00002,148
169,116.05,0.004,0.1,01100000_00010010,5.823311805725098,_M_00002,148
170,116.01,0.004,0.2,01100000_00010010,5.839880704879761,_M_00002,148
171,116.05,0.004,0.0,01100000_00010010,5.856481552124023,_M_00002,148
172,116.03,0.004,0.4,01100000_00110010,5.873099327087402,_M_00002,148
173,116.08,0.002,0.2,01100000_00010010,5.889700174331665,_M_00002,148
174,115.97,0.004,0.0,01100000_00100010,5.906277894973755,_M_00002,148
175,116.03,0.004,0.1,01100000_00110010,5.922887802124023,_M_00002,148
176,115.99,0.004,0.0,01100000_00010010,5.939462661743164,_M_00002,148
